title,category,subcategory,price,imageFolder,imageName,imagePath,description,tags,collection,isNew,isFeatured
Grinch Freshie,freshies-charms,freshies,0.99,freshies,grinch-freshie,/images/products/freshies/grinch-freshie.png,Transform your environment with this adorable Grinch Freshie freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, christmas, december, decorative, featured, freshies, grinch, holiday, home fragrance, new-arrival, scented, seasonal, winter",grinch,TRUE,TRUE
Minnie Mouse Freshie,freshies-charms,freshies,0.99,freshies,mickey-mouse-freshie,/images/products/freshies/mickey-mouse-freshie.png,Bring personality and freshness to your space with this unique Minnie Mouse Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, aroma, car accessory, decorative, featured, freshies, home fragrance, new-arrival, scented",,TRUE,TRUE
Faith Cross Freshie,freshies-charms,freshies,0.99,freshies,Faith-cross-freshie,/images/products/freshies/Faith-cross-freshie.png,Bring personality and freshness to your space with this unique Faith Cross Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, aroma, car accessory, decorative, featured, freshies, home fragrance, new-arrival, scented",,TRUE,TRUE
Blessed Cross Freshie,freshies-charms,freshies,0.99,freshies,blessed-cross-freshie,/images/products/freshies/blessed-cross-freshie.png,Bring personality and freshness to your space with this unique Blessed Cross Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Bow Pig Freshie,freshies-charms,freshies,0.99,freshies,girly-pig-freshie,/images/products/freshies/girly-pig-freshie.png,Transform your environment with this adorable Bow Pig Freshie freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
NFL team KC Freshie,freshies-charms,freshies,0.99,freshies,kc-nfl-freshies,/images/products/freshies/kc-nfl-freshies.png,Transform your environment with this adorable NFL team KC Freshie freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Dariy Cow Freshie,freshies-charms,freshies,0.99,freshies,dairy-cow-freshie,/images/products/freshies/dairy-cow-freshie.png,Bring personality and freshness to your space with this unique Dariy Cow Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, animal, aroma, car accessory, country, decorative, farm, farmhouse, freshies, home fragrance, new-arrival, rustic, scented",cow,TRUE,FALSE
Highland Cow Freshie,freshies-charms,freshies,0.99,freshies,highland-cow-freshie,/images/products/freshies/highland-cow-freshie.png,Bring personality and freshness to your space with this unique Highland Cow Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, animal, aroma, car accessory, country, decorative, farm, farmhouse, freshies, home fragrance, new-arrival, rustic, scented",cow,TRUE,FALSE
Mason Jar Printed Freshie,freshies-charms,freshies,0.99,freshies,mason-jar-freshie,/images/products/freshies/mason-jar-freshie.png,"Add a delightful aroma to your space with this charming Mason Jar Printed Freshie. Perfect for your car, closet, or any room that needs a fresh scent.","affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Turtle Freshie Optional Glitter,freshies-charms,freshies,0.99,freshies,turtle-freshie,/images/products/freshies/turtle-freshie.png,Transform your environment with this adorable Turtle Freshie Optional Glitter freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Car Fan Printed Freshie,freshies-charms,freshies,0.99,freshies,race-car-freshie,/images/products/freshies/race-car-freshie.png,Bring personality and freshness to your space with this unique Car Fan Printed Freshie. Each freshie is handcrafted with attention to detail.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Martini Freshie,freshies-charms,freshies,0.99,freshies,martini-glass-freshie,/images/products/freshies/martini-glass-freshie.png,Transform your environment with this adorable Martini Freshie freshie. Long-lasting fragrance meets cute design in this must-have air freshener.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Pumpkin Flower Freshie,freshies-charms,freshies,0.99,freshies,pumpkin-fall-freshie,/images/products/freshies/pumpkin-fall-freshie.png,Make your car or room smell amazing with this cute Pumpkin Flower Freshie freshie. A perfect blend of style and function.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
Dream Catcher Freshie,freshies-charms,freshies,0.99,freshies,dream-catcher-freshie,/images/products/freshies/dream-catcher-freshie.png,Make your car or room smell amazing with this cute Dream Catcher Freshie freshie. A perfect blend of style and function.,"affordable, air freshener, aroma, car accessory, decorative, freshies, home fragrance, new-arrival, scented",,TRUE,FALSE
